Time [s], Analyzer Name, Decoded Protocol Result
0.000100166666667,SPI,MOSI: '0' (0x00)
0.168811583333333,SPI,MOSI: '0' (0x00)
0.169511625000000,SPI,MOSI: '28' (0x1C)
0.170365375000000,SPI,MOSI: '237' (0xED)
0.171096583333333,SPI,MOSI: '136' (0x88)
0.171887083333333,SPI,MOSI: '142' (0x8E)
0.172601041666667,SPI,MOSI: '192' (0xC0)
0.173341166666667,SPI,MOSI: '197' (0xC5)
0.191437083333333,SPI,MOSI: '192' (0xC0)
0.192154000000000,SPI,MOSI: '27' (0x1B)
0.193017375000000,SPI,MOSI: v (0x76)
0.193722416666667,SPI,MOSI: '0' (0x00)
0.194492041666667,SPI,MOSI: '146' (0x92)
0.195215625000000,SPI,MOSI: '16' (0x10)
0.213586458333333,SPI,MOSI: '192' (0xC0)
0.214299125000000,SPI,MOSI: '27' (0x1B)
0.215101208333333,SPI,MOSI: v (0x76)
0.215824791666667,SPI,MOSI: '1' (0x01)
0.216647750000000,SPI,MOSI: '3' (0x03)
0.217373291666667,SPI,MOSI: '16' (0x10)
0.235739875000000,SPI,MOSI: '192' (0xC0)
0.236440583333333,SPI,MOSI: '27' (0x1B)
0.237238375000000,SPI,MOSI: v (0x76)
0.237944375000000,SPI,MOSI: '2' (0x02)
0.238741833333333,SPI,MOSI: '5' (0x05)
0.239445833333333,SPI,MOSI: '16' (0x10)
0.257910833333333,SPI,MOSI: '192' (0xC0)
0.258636083333333,SPI,MOSI: '29' (0x1D)
0.259455708333333,SPI,MOSI: v (0x76)
0.260181916666667,SPI,MOSI: '128' (0x80)
0.260964166666667,SPI,MOSI: '0' (0x00)
0.261676458333333,SPI,MOSI: '16' (0x10)
0.262484166666667,SPI,MOSI: '128' (0x80)
0.263185875000000,SPI,MOSI: '146' (0x92)
0.281124083333333,SPI,MOSI: '195' (0xC3)
0.281896666666667,SPI,MOSI: '31' (0x1F)
0.282671625000000,SPI,MOSI: | (0x7C)
0.283408416666667,SPI,MOSI: '0' (0x00)
0.284160833333333,SPI,MOSI: '16' (0x10)
0.284911583333333,SPI,MOSI: '0' (0x00)
0.285705708333333,SPI,MOSI: '254' (0xFE)
0.286440208333333,SPI,MOSI: '255' (0xFF)
0.287186291666667,SPI,MOSI: '255' (0xFF)
0.287901916666667,SPI,MOSI: '223' (0xDF)
0.288715625000000,SPI,MOSI: ? (0x3F)
0.289444833333333,SPI,MOSI: ) (0x29)
0.290213125000000,SPI,MOSI: COMMA (0x2C)
0.290914833333333,SPI,MOSI: '240' (0xF0)
0.291711625000000,SPI,MOSI: '222' (0xDE)
0.292431541666667,SPI,MOSI: / (0x2F)
0.293194875000000,SPI,MOSI: a (0x61)
0.293941958333333,SPI,MOSI: '244' (0xF4)
0.294799375000000,SPI,MOSI: '244' (0xF4)
0.295537208333333,SPI,MOSI: '223' (0xDF)
0.296266416666667,SPI,MOSI: '221' (0xDD)
0.297018791666667,SPI,MOSI: '191' (0xBF)
0.297780125000000,SPI,MOSI: '255' (0xFF)
0.298521291666667,SPI,MOSI: '190' (0xBE)
0.299286916666667,SPI,MOSI: '255' (0xFF)
0.300036333333333,SPI,MOSI: '255' (0xFF)
0.300828500000000,SPI,MOSI: '3' (0x03)
0.301707750000000,SPI,MOSI: '0' (0x00)
0.302414125000000,SPI,MOSI: '224' (0xE0)
0.303253000000000,SPI,MOSI: '5' (0x05)
0.303966291666667,SPI,MOSI: @ (0x40)
0.304773000000000,SPI,MOSI: '0' (0x00)
0.305496916666667,SPI,MOSI: '0' (0x00)
0.306330791666667,SPI,MOSI: '0' (0x00)
0.324404166666667,SPI,MOSI: '192' (0xC0)
0.325133041666667,SPI,MOSI: '27' (0x1B)
0.326019291666667,SPI,MOSI: v (0x76)
0.326870750000000,SPI,MOSI: '0' (0x00)
0.327604250000000,SPI,MOSI: '146' (0x92)
0.328427875000000,SPI,MOSI: '16' (0x10)
0.346547625000000,SPI,MOSI: '192' (0xC0)
0.347292083333333,SPI,MOSI: '27' (0x1B)
0.348151458333333,SPI,MOSI: v (0x76)
0.348858166666667,SPI,MOSI: '1' (0x01)
0.349625791666667,SPI,MOSI: '3' (0x03)
0.350375208333333,SPI,MOSI: '16' (0x10)
0.368739125000000,SPI,MOSI: '192' (0xC0)
0.369503458333333,SPI,MOSI: '27' (0x1B)
0.370362541666667,SPI,MOSI: v (0x76)
0.371249125000000,SPI,MOSI: '2' (0x02)
0.371982291666667,SPI,MOSI: '5' (0x05)
0.372773458333333,SPI,MOSI: '16' (0x10)
0.390907791666667,SPI,MOSI: '192' (0xC0)
0.391610833333333,SPI,MOSI: '29' (0x1D)
0.392479166666667,SPI,MOSI: v (0x76)
0.393209708333333,SPI,MOSI: '128' (0x80)
0.393959791666667,SPI,MOSI: '0' (0x00)
0.394671416666667,SPI,MOSI: '16' (0x10)
0.395452625000000,SPI,MOSI: '128' (0x80)
0.396164291666667,SPI,MOSI: '146' (0x92)
0.414055458333333,SPI,MOSI: '195' (0xC3)
0.414777708333333,SPI,MOSI: '31' (0x1F)
0.415606958333333,SPI,MOSI: | (0x7C)
0.416376250000000,SPI,MOSI: '0' (0x00)
0.417122666666667,SPI,MOSI: '16' (0x10)
0.417865458333333,SPI,MOSI: '0' (0x00)
0.418671541666667,SPI,MOSI: '254' (0xFE)
0.419417625000000,SPI,MOSI: '255' (0xFF)
0.420122333333333,SPI,MOSI: '255' (0xFF)
0.420887333333333,SPI,MOSI: '223' (0xDF)
0.421682125000000,SPI,MOSI: ? (0x3F)
0.422397750000000,SPI,MOSI: ) (0x29)
0.423122625000000,SPI,MOSI: COMMA (0x2C)
0.423850166666667,SPI,MOSI: '240' (0xF0)
0.424661875000000,SPI,MOSI: '222' (0xDE)
0.425378833333333,SPI,MOSI: / (0x2F)
0.426168333333333,SPI,MOSI: a (0x61)
0.426919083333333,SPI,MOSI: '244' (0xF4)
0.427762250000000,SPI,MOSI: '244' (0xF4)
0.428484500000000,SPI,MOSI: '223' (0xDF)
0.429192500000000,SPI,MOSI: '221' (0xDD)
0.429948541666667,SPI,MOSI: '191' (0xBF)
0.430796666666667,SPI,MOSI: '255' (0xFF)
0.431666333333333,SPI,MOSI: '190' (0xBE)
0.432369041666667,SPI,MOSI: '255' (0xFF)
0.433222500000000,SPI,MOSI: '255' (0xFF)
0.433973541666667,SPI,MOSI: '3' (0x03)
0.434758083333333,SPI,MOSI: '0' (0x00)
0.435532333333333,SPI,MOSI: '224' (0xE0)
0.436264208333333,SPI,MOSI: '5' (0x05)
0.437016916666667,SPI,MOSI: @ (0x40)
0.437813375000000,SPI,MOSI: '0' (0x00)
0.438568750000000,SPI,MOSI: '0' (0x00)
0.439280750000000,SPI,MOSI: '0' (0x00)
0.457405500000000,SPI,MOSI: '195' (0xC3)
0.458155541666667,SPI,MOSI: '31' (0x1F)
0.458931458333333,SPI,MOSI: | (0x7C)
0.459674250000000,SPI,MOSI: '1' (0x01)
0.460409083333333,SPI,MOSI: '16' (0x10)
0.461165791666667,SPI,MOSI: '1' (0x01)
0.461968541666667,SPI,MOSI: '255' (0xFF)
0.462680208333333,SPI,MOSI: '255' (0xFF)
0.463397791666667,SPI,MOSI: '255' (0xFF)
0.464113416666667,SPI,MOSI: '255' (0xFF)
0.464938708333333,SPI,MOSI: '255' (0xFF)
0.465674541666667,SPI,MOSI: '255' (0xFF)
0.466455416666667,SPI,MOSI: '255' (0xFF)
0.467210125000000,SPI,MOSI: '255' (0xFF)
0.468033791666667,SPI,MOSI: '255' (0xFF)
0.468946500000000,SPI,MOSI: '255' (0xFF)
0.469689625000000,SPI,MOSI: '255' (0xFF)
0.470500000000000,SPI,MOSI: '255' (0xFF)
0.471219625000000,SPI,MOSI: '255' (0xFF)
0.472036958333333,SPI,MOSI: '255' (0xFF)
0.472749583333333,SPI,MOSI: '255' (0xFF)
0.473485750000000,SPI,MOSI: '255' (0xFF)
0.474217916666667,SPI,MOSI: '255' (0xFF)
0.475058458333333,SPI,MOSI: '255' (0xFF)
0.475797583333333,SPI,MOSI: '255' (0xFF)
0.476549666666667,SPI,MOSI: '255' (0xFF)
0.477280833333333,SPI,MOSI: '255' (0xFF)
0.478108458333333,SPI,MOSI: '255' (0xFF)
0.478964541666667,SPI,MOSI: '255' (0xFF)
0.479734500000000,SPI,MOSI: '255' (0xFF)
0.480656166666667,SPI,MOSI: '255' (0xFF)
0.481521875000000,SPI,MOSI: '255' (0xFF)
0.482253083333333,SPI,MOSI: '255' (0xFF)
0.483069750000000,SPI,MOSI: '255' (0xFF)
0.501658666666667,SPI,MOSI: '195' (0xC3)
0.502359708333333,SPI,MOSI: '31' (0x1F)
0.503209833333333,SPI,MOSI: | (0x7C)
0.503910208333333,SPI,MOSI: '2' (0x02)
0.504688458333333,SPI,MOSI: '16' (0x10)
0.505388833333333,SPI,MOSI: '2' (0x02)
0.506197541666667,SPI,MOSI: '255' (0xFF)
0.506931708333333,SPI,MOSI: '255' (0xFF)
0.507718583333333,SPI,MOSI: '255' (0xFF)
0.508423250000000,SPI,MOSI: '255' (0xFF)
0.509247208333333,SPI,MOSI: '255' (0xFF)
0.509962500000000,SPI,MOSI: '255' (0xFF)
0.510752000000000,SPI,MOSI: '255' (0xFF)
0.511453041666667,SPI,MOSI: '255' (0xFF)
0.512310791666667,SPI,MOSI: '255' (0xFF)
0.513059208333333,SPI,MOSI: '255' (0xFF)
0.513778458333333,SPI,MOSI: '255' (0xFF)
0.514479833333333,SPI,MOSI: '255' (0xFF)
0.515292208333333,SPI,MOSI: '255' (0xFF)
0.516020416666667,SPI,MOSI: '255' (0xFF)
0.516800000000000,SPI,MOSI: '255' (0xFF)
0.517501708333333,SPI,MOSI: '255' (0xFF)
0.518339541666667,SPI,MOSI: '255' (0xFF)
0.519041583333333,SPI,MOSI: '255' (0xFF)
0.519823791666667,SPI,MOSI: '255' (0xFF)
0.520525833333333,SPI,MOSI: '255' (0xFF)
0.521347166666667,SPI,MOSI: '255' (0xFF)
0.522053166666667,SPI,MOSI: '255' (0xFF)
0.522835375000000,SPI,MOSI: '255' (0xFF)
0.523540750000000,SPI,MOSI: '255' (0xFF)
0.524353750000000,SPI,MOSI: '255' (0xFF)
0.525089250000000,SPI,MOSI: '255' (0xFF)
0.525855875000000,SPI,MOSI: '255' (0xFF)
0.526558250000000,SPI,MOSI: '255' (0xFF)
0.544978208333333,SPI,MOSI: '193' (0xC1)
0.545703416666667,SPI,MOSI: '27' (0x1B)
0.546552875000000,SPI,MOSI: '127' (0x7F)
0.547252625000000,SPI,MOSI: '1' (0x01)
0.548031833333333,SPI,MOSI: '8' (0x08)
0.548736875000000,SPI,MOSI: '16' (0x10)
0.549578375000000,SPI,MOSI: '16' (0x10)
0.550314541666667,SPI,MOSI: '195' (0xC3)
0.551067583333333,SPI,MOSI: '1' (0x01)
0.551769291666667,SPI,MOSI: '0' (0x00)
0.552626708333333,SPI,MOSI: '129' (0x81)
0.553533500000000,SPI,MOSI: '1' (0x01)
0.554234208333333,SPI,MOSI: '255' (0xFF)
0.555082375000000,SPI,MOSI: '0' (0x00)
0.573182583333333,SPI,MOSI: '192' (0xC0)
0.573908125000000,SPI,MOSI: '28' (0x1C)
0.574736750000000,SPI,MOSI: p (0x70)
0.575437791666667,SPI,MOSI: '0' (0x00)
0.576204416666667,SPI,MOSI: '128' (0x80)
0.576907791666667,SPI,MOSI: '1' (0x01)
0.577724125000000,SPI,MOSI: '144' (0x90)
4.384340708333333,SPI,MOSI: '7' (0x07)
4.385140458333334,SPI,MOSI: '26' (0x1A)
4.385919708333334,SPI,MOSI: '238' (0xEE)
4.386799958333333,SPI,MOSI: '8' (0x08)
4.387583166666666,SPI,MOSI: '255' (0xFF)
4.388409458333333,SPI,MOSI: '16' (0x10)
4.389121416666667,SPI,MOSI: '255' (0xFF)
4.389957625000000,SPI,MOSI: ' ' (0x20)
4.390700416666666,SPI,MOSI: '255' (0xFF)
4.391431291666667,SPI,MOSI: ( (0x28)
4.392226750000000,SPI,MOSI: '255' (0xFF)
4.393006666666667,SPI,MOSI: 0 (0x30)
4.393894541666667,SPI,MOSI: '255' (0xFF)
4.394686375000000,SPI,MOSI: 8 (0x38)
4.395387083333333,SPI,MOSI: '255' (0xFF)
4.396100375000000,SPI,MOSI: @ (0x40)
4.396953166666667,SPI,MOSI: '255' (0xFF)
4.397759583333333,SPI,MOSI: H (0x48)
4.398535833333334,SPI,MOSI: '255' (0xFF)
4.399403833333333,SPI,MOSI: P (0x50)
4.400173791666667,SPI,MOSI: '255' (0xFF)
4.400960958333333,SPI,MOSI: X (0x58)
4.401682208333333,SPI,MOSI: '255' (0xFF)
4.402431958333334,SPI,MOSI: ` (0x60)
4.403190333333334,SPI,MOSI: '255' (0xFF)
4.404023875000000,SPI,MOSI: h (0x68)
4.404797500000000,SPI,MOSI: '255' (0xFF)
4.405499208333334,SPI,MOSI: p (0x70)
4.406206208333334,SPI,MOSI: '255' (0xFF)
4.407020208333333,SPI,MOSI: x (0x78)
4.407785541666667,SPI,MOSI: '255' (0xFF)
4.408501833333333,SPI,MOSI: '128' (0x80)
4.409237666666667,SPI,MOSI: '255' (0xFF)
4.410070875000000,SPI,MOSI: '136' (0x88)
4.410784500000000,SPI,MOSI: '142' (0x8E)
4.411582958333334,SPI,MOSI: '144' (0x90)
4.412363833333333,SPI,MOSI: '255' (0xFF)
4.413066875000000,SPI,MOSI: '152' (0x98)
4.413769250000000,SPI,MOSI: '255' (0xFF)
4.414555125000000,SPI,MOSI: '160' (0xA0)
4.415320750000000,SPI,MOSI: '255' (0xFF)
4.416083416666667,SPI,MOSI: '169' (0xA9)
4.416794416666667,SPI,MOSI: '255' (0xFF)
4.417546791666667,SPI,MOSI: '176' (0xB0)
4.418323041666667,SPI,MOSI: '255' (0xFF)
4.419164875000000,SPI,MOSI: '184' (0xB8)
4.420079958333333,SPI,MOSI: '255' (0xFF)
4.420916166666666,SPI,MOSI: '192' (0xC0)
4.421706333333334,SPI,MOSI: '197' (0xC5)
4.422570041666667,SPI,MOSI: '200' (0xC8)
4.423333708333334,SPI,MOSI: '255' (0xFF)
4.424188166666666,SPI,MOSI: '208' (0xD0)
4.425048541666667,SPI,MOSI: '255' (0xFF)
4.425833416666666,SPI,MOSI: '216' (0xD8)
4.426685541666667,SPI,MOSI: '255' (0xFF)
4.427423333333333,SPI,MOSI: '224' (0xE0)
4.428177416666666,SPI,MOSI: '255' (0xFF)
4.428909916666667,SPI,MOSI: '232' (0xE8)
4.429707375000000,SPI,MOSI: '238' (0xEE)
4.430624083333333,SPI,MOSI: '240' (0xF0)
4.431404000000000,SPI,MOSI: '255' (0xFF)
4.441850041666667,SPI,MOSI: '0' (0x00)
4.442755166666666,SPI,MOSI: '30' (0x1E)
4.443535083333333,SPI,MOSI: '236' (0xEC)
4.444342791666666,SPI,MOSI: '143' (0x8F)
4.445090875000000,SPI,MOSI: '255' (0xFF)
4.445817125000000,SPI,MOSI: '199' (0xC7)
4.446608916666666,SPI,MOSI: '199' (0xC7)
4.447536375000000,SPI,MOSI: '249' (0xF9)
4.448438875000000,SPI,MOSI: '194' (0xC2)
4.449341625000000,SPI,MOSI: s (0x73)
4.450244208333333,SPI,MOSI: '1' (0x01)
4.451147083333334,SPI,MOSI: '129' (0x81)
4.452049958333333,SPI,MOSI: n (0x6E)
4.452952500000000,SPI,MOSI: o (0x6F)
4.453854875000000,SPI,MOSI: ' ' (0x20)
4.454757833333334,SPI,MOSI: i (0x69)
4.455660500000000,SPI,MOSI: P (0x50)
4.456563333333333,SPI,MOSI: o (0x6F)
4.457465791666666,SPI,MOSI: d (0x64)
4.458368541666666,SPI,MOSI: ' ' (0x20)
4.468030791666667,SPI,MOSI: '0' (0x00)
4.468917041666667,SPI,MOSI: '30' (0x1E)
4.469727416666666,SPI,MOSI: '236' (0xEC)
4.470627250000000,SPI,MOSI: '143' (0x8F)
4.471545625000000,SPI,MOSI: '255' (0xFF)
4.472257625000000,SPI,MOSI: '199' (0xC7)
4.473026916666667,SPI,MOSI: '199' (0xC7)
4.473953416666666,SPI,MOSI: '250' (0xFA)
4.474855833333334,SPI,MOSI: '194' (0xC2)
4.475758583333334,SPI,MOSI: s (0x73)
4.476661125000000,SPI,MOSI: '1' (0x01)
4.477564083333333,SPI,MOSI: " (0x22)
4.478466916666667,SPI,MOSI: ' ' (0x20)
4.479369875000000,SPI,MOSI: ' ' (0x20)
4.480272833333333,SPI,MOSI: ' ' (0x20)
4.481175875000000,SPI,MOSI: ' ' (0x20)
4.482078833333333,SPI,MOSI: ' ' (0x20)
4.482981791666667,SPI,MOSI: ' ' (0x20)
4.483884750000000,SPI,MOSI: ' ' (0x20)
4.484787666666667,SPI,MOSI: ' ' (0x20)
4.485690625000000,SPI,MOSI: ' ' (0x20)
4.486593583333334,SPI,MOSI: ' ' (0x20)
4.487496541666666,SPI,MOSI: ' ' (0x20)
4.488399500000000,SPI,MOSI: ' ' (0x20)
4.489302458333333,SPI,MOSI: ' ' (0x20)
4.490205375000000,SPI,MOSI: ' ' (0x20)
4.491108333333333,SPI,MOSI: ' ' (0x20)
4.492011291666667,SPI,MOSI: ' ' (0x20)
4.502165875000000,SPI,MOSI: '0' (0x00)
4.502988500000000,SPI,MOSI: '30' (0x1E)
4.503755500000000,SPI,MOSI: '236' (0xEC)
4.504479708333333,SPI,MOSI: '143' (0x8F)
4.505178791666666,SPI,MOSI: '255' (0xFF)
4.505934458333333,SPI,MOSI: '199' (0xC7)
4.506769041666667,SPI,MOSI: '199' (0xC7)
4.507695583333334,SPI,MOSI: '252' (0xFC)
4.508598000000000,SPI,MOSI: '198' (0xC6)
4.509500625000000,SPI,MOSI: s (0x73)
4.510403208333333,SPI,MOSI: '1' (0x01)
4.511306125000000,SPI,MOSI: '4' (0x04)
4.512209083333333,SPI,MOSI: S (0x53)
4.513111750000000,SPI,MOSI: e (0x65)
4.514014375000000,SPI,MOSI: r (0x72)
4.514917041666667,SPI,MOSI: i (0x69)
4.515819708333333,SPI,MOSI: a (0x61)
4.516722458333334,SPI,MOSI: l (0x6C)
4.517625083333333,SPI,MOSI: : (0x3A)
4.518527750000000,SPI,MOSI: ' ' (0x20)
4.519430625000000,SPI,MOSI: 0 (0x30)
4.520333583333334,SPI,MOSI: 0 (0x31)
4.521236333333333,SPI,MOSI: 0 (0x38)
4.522139083333333,SPI,MOSI: 0 (0x44)
4.523041958333334,SPI,MOSI: 0 (0x38)
4.523944708333334,SPI,MOSI: 0 (0x37)
4.524847250000000,SPI,MOSI: '0' (0x00)
4.525750291666666,SPI,MOSI: '0' (0x00)
4.526653333333333,SPI,MOSI: ' ' (0x20)
4.527556291666667,SPI,MOSI: ' ' (0x20)
4.528459250000000,SPI,MOSI: ' ' (0x20)
4.529362208333334,SPI,MOSI: ' ' (0x20)
4.530265166666666,SPI,MOSI: ' ' (0x20)
4.531168083333333,SPI,MOSI: ' ' (0x20)
4.532071041666667,SPI,MOSI: ' ' (0x20)
4.532974000000000,SPI,MOSI: ' ' (0x20)
4.533876958333333,SPI,MOSI: ' ' (0x20)
4.534779916666666,SPI,MOSI: ' ' (0x20)
4.535682833333333,SPI,MOSI: ' ' (0x20)
4.536585791666667,SPI,MOSI: ' ' (0x20)
4.537488750000000,SPI,MOSI: ' ' (0x20)
4.538391708333333,SPI,MOSI: ' ' (0x20)
4.539294666666667,SPI,MOSI: ' ' (0x20)
4.540197625000000,SPI,MOSI: ' ' (0x20)
4.541100541666666,SPI,MOSI: ' ' (0x20)
4.542003500000000,SPI,MOSI: ' ' (0x20)
4.542906458333333,SPI,MOSI: ' ' (0x20)
4.543809416666667,SPI,MOSI: ' ' (0x20)
4.553535791666667,SPI,MOSI: '0' (0x00)
4.554307416666667,SPI,MOSI: '30' (0x1E)
4.555075041666667,SPI,MOSI: '236' (0xEC)
4.555818500000000,SPI,MOSI: '143' (0x8F)
4.556539416666666,SPI,MOSI: '255' (0xFF)
4.557340500000000,SPI,MOSI: '199' (0xC7)
4.558159166666667,SPI,MOSI: '199' (0xC7)
4.559085708333333,SPI,MOSI: '252' (0xFC)
4.559988125000000,SPI,MOSI: '198' (0xC6)
4.560890750000000,SPI,MOSI: s (0x73)
4.561793291666667,SPI,MOSI: '1' (0x01)
4.562696250000000,SPI,MOSI: '3' (0x03)
4.563599125000000,SPI,MOSI: ' ' (0x20)
4.564502083333333,SPI,MOSI: ' ' (0x20)
4.565405000000000,SPI,MOSI: w (0x77)
4.566307458333333,SPI,MOSI: w (0x77)
4.567209916666667,SPI,MOSI: w (0x77)
4.568112375000000,SPI,MOSI: . (0x2E)
4.569015000000000,SPI,MOSI: i (0x69)
4.569917666666667,SPI,MOSI: M (0x4D)
4.570820333333334,SPI,MOSI: I (0x49)
4.571723000000000,SPI,MOSI: V (0x56)
4.572625750000000,SPI,MOSI: . (0x2E)
4.573528416666667,SPI,MOSI: c (0x63)
4.574431083333334,SPI,MOSI: a (0x61)
4.575333833333334,SPI,MOSI: ' ' (0x20)
4.576236750000000,SPI,MOSI: ' ' (0x20)
4.577139708333333,SPI,MOSI: ' ' (0x20)
4.578042666666667,SPI,MOSI: '0' (0x00)
4.578945708333333,SPI,MOSI: '0' (0x00)
4.579848791666667,SPI,MOSI: ' ' (0x20)
4.580751708333334,SPI,MOSI: ' ' (0x20)
4.581654666666667,SPI,MOSI: ' ' (0x20)
4.582557625000000,SPI,MOSI: ' ' (0x20)
4.583460583333333,SPI,MOSI: ' ' (0x20)
4.584363458333334,SPI,MOSI: ' ' (0x20)
4.585266416666666,SPI,MOSI: ' ' (0x20)
4.586169375000000,SPI,MOSI: ' ' (0x20)
4.587072333333333,SPI,MOSI: ' ' (0x20)
4.587975291666667,SPI,MOSI: ' ' (0x20)
4.588878208333333,SPI,MOSI: ' ' (0x20)
4.589781166666667,SPI,MOSI: ' ' (0x20)
4.590684125000000,SPI,MOSI: ' ' (0x20)
4.591587083333334,SPI,MOSI: ' ' (0x20)
4.592490041666666,SPI,MOSI: ' ' (0x20)
4.593393000000000,SPI,MOSI: ' ' (0x20)
4.594295916666667,SPI,MOSI: ' ' (0x20)
4.595198875000000,SPI,MOSI: ' ' (0x20)
4.607884125000000,SPI,MOSI: '0' (0x00)
4.608689208333334,SPI,MOSI: '30' (0x1E)
4.609520458333333,SPI,MOSI: '236' (0xEC)
4.610419958333333,SPI,MOSI: '143' (0x8F)
4.611397958333334,SPI,MOSI: '143' (0x8F)
4.612577291666667,SPI,MOSI: '0' (0x00)
4.613777000000000,SPI,MOSI: '138' (0x8A)
4.614976708333334,SPI,MOSI: '175' (0xAF)
4.616176375000000,SPI,MOSI: 7 (0x37)
4.617386083333333,SPI,MOSI: '1' (0x01)
4.635073708333334,SPI,MOSI: '233' (0xE9)
4.635819166666667,SPI,MOSI: '27' (0x1B)
4.636652708333333,SPI,MOSI: '224' (0xE0)
4.637368666666666,SPI,MOSI: '1' (0x01)
4.638201250000000,SPI,MOSI: '8' (0x08)
4.639646708333333,SPI,MOSI: '0' (0x00)
